,GDPDEF
2010-03-31,89.036
2010-06-30,89.471
2010-09-30,89.743
2010-12-31,90.264
2011-03-31,90.726
2011-06-30,91.326
2011-09-30,91.876
2011-12-31,91.985
2012-03-31,92.525
2012-06-30,92.907
2012-09-30,93.417
2012-12-31,93.885
2013-03-31,94.258
2013-06-30,94.461
2013-09-30,94.924
2013-12-31,95.426
2014-03-31,95.788
2014-06-30,96.33
2014-09-30,96.726
2014-12-31,96.822
2015-03-31,96.769
2015-06-30,97.325
2015-09-30,97.583
2015-12-31,97.581
2016-03-31,97.496
2016-06-30,98.159
2016-09-30,98.41
2016-12-31,98.886
2017-03-31,99.39
2017-06-30,99.65
2017-09-30,100.162
2017-12-31,100.778
2018-03-31,101.419
2018-06-30,102.136
2018-09-30,102.577
2018-12-31,103.019
2019-03-31,103.328
2019-06-30,103.862
2019-09-30,104.192
2019-12-31,104.516
2020-03-31,105.032
2020-06-30,104.614
2020-09-30,105.572
2020-12-31,106.23
2021-03-31,107.583
2021-06-30,109.258
2021-09-30,110.938
2021-12-31,112.847
2022-03-31,115.126
2022-06-30,117.728
2022-09-30,119.031
2022-12-31,120.164
2023-03-31,121.288
2023-06-30,121.92
2023-09-30,122.914
2023-12-31,123.405
2024-03-31,124.374
2024-06-30,125.167
2024-09-30,125.696
2024-12-31,126.45
2025-03-31,127.577
2025-06-30,128.248
2025-09-30,129.43
2025-12-31,130.624
