,M2SL
2010-03-31,8523.5
2010-06-30,8628.1
2010-09-30,8718.7
2010-12-31,8823.2
2011-03-31,8971.5
2011-06-30,9182.1
2011-09-30,9551.5
2011-12-31,9683.9
2012-03-31,9853.9
2012-06-30,10021.6
2012-09-30,10226.1
2012-12-31,10484.1
2013-03-31,10583.8
2013-06-30,10703.3
2013-09-30,10862.0
2013-12-31,11060.1
2014-03-31,11232.6
2014-06-30,11398.1
2014-09-30,11519.1
2014-12-31,11717.6
2015-03-31,11920.5
2015-06-30,12023.2
2015-09-30,12173.9
2015-12-31,12387.9
2016-03-31,12661.8
2016-06-30,12852.5
2016-09-30,13054.9
2016-12-31,13234.9
2017-03-31,13463.6
2017-06-30,13580.5
2017-09-30,13745.1
2017-12-31,13881.7
2018-03-31,14012.7
2018-06-30,14137.2
2018-09-30,14245.5
2018-12-31,14386.8
2019-03-31,14557.5
2019-06-30,14802.8
2019-09-30,15047.0
2019-12-31,15347.5
2020-03-31,16033.0
2020-06-30,18184.3
2020-09-30,18602.5
2020-12-31,19115.7
2021-03-31,19873.2
2021-06-30,20477.8
2021-09-30,20981.0
2021-12-31,21498.5
2022-03-31,21787.2
2022-06-30,21651.5
2022-09-30,21536.7
2022-12-31,21290.9
2023-03-31,20947.4
2023-06-30,20799.4
2023-09-30,20747.8
2023-12-31,20777.8
2024-03-31,20973.2
2024-06-30,21067.7
2024-09-30,21268.6
2024-12-31,21485.3
2025-03-31,21693.5
2025-06-30,21938.7
2025-09-30,22169.8
2025-12-31,22386.9
2026-03-31,22667.3
