,C,I,G,NX,GDP_proxy
2023-07-01,1573.6833333333334,424.06666666666666,373.81025,-7.357833333333334,2364.2024166666665
2023-08-01,1579.4416666666666,424.06666666666666,373.81025,-7.018333333333334,2370.30025
2023-09-01,1587.3416666666665,424.06666666666666,373.81025,-6.979916666666668,2378.2386666666666
2023-10-01,1592.45,430.0961666666667,378.48316666666665,-7.269166666666667,2393.760166666667
2023-11-01,1598.2416666666668,430.0961666666667,378.48316666666665,-7.370333333333335,2399.4506666666666
2023-12-01,1606.9583333333333,430.0961666666667,378.48316666666665,-7.347666666666665,2408.19
2024-01-01,1608.6083333333333,429.58575,382.77500000000003,-7.720000000000001,2413.2490833333336
2024-02-01,1620.5416666666667,429.58575,382.77500000000003,-7.6991666666666685,2425.20325
2024-03-01,1631.8166666666666,429.58575,382.77500000000003,-7.760250000000003,2436.417166666667
2024-04-01,1638.8083333333334,440.8475833333334,386.59049999999996,-8.246416666666669,2457.9999999999995
2024-05-01,1646.5,440.8475833333334,386.59049999999996,-8.385833333333332,2465.5522499999997
2024-06-01,1653.7083333333333,440.8475833333334,386.59049999999996,-8.296916666666664,2472.8495
2024-07-01,1662.4583333333333,444.18741666666665,392.66758333333337,-8.695833333333335,2490.6175
2024-08-01,1666.7749999999999,444.18741666666665,392.66758333333337,-8.093083333333333,2495.5369166666665
2024-09-01,1678.9666666666665,444.18741666666665,392.66758333333337,-8.976833333333333,2506.844833333333
2024-10-01,1685.5,438.48583333333335,396.6866666666666,-8.340666666666667,2512.331833333333
2024-11-01,1692.8,438.48583333333335,396.6866666666666,-8.833416666666666,2519.139083333333
2024-12-01,1709.5249999999999,438.48583333333335,396.6866666666666,-10.23525,2534.4622499999996
2025-01-01,1705.1833333333334,463.01800000000003,398.584,-12.968333333333335,2553.817
2025-02-01,1709.9833333333333,463.01800000000003,398.584,-12.227833333333335,2559.3575
2025-03-01,1723.5833333333333,463.01800000000003,398.584,-13.505,2571.680333333333
2025-04-01,1728.8666666666668,446.55266666666665,399.76300000000003,-7.21025,2567.972083333333
2025-05-01,1729.5833333333333,446.55266666666665,399.76300000000003,-8.0795,2567.8195
2025-06-01,1739.0333333333335,446.55266666666665,399.76300000000003,-7.130583333333334,2578.2184166666666
2025-07-01,1750.6083333333333,451.58575,405.10241666666667,-8.545583333333331,2598.7509166666664
2025-08-01,1760.3166666666666,451.58575,405.10241666666667,-7.132833333333334,2609.8720000000003
2025-09-01,1766.8666666666668,451.58575,405.10241666666667,-6.479916666666666,2617.074916666667
2025-10-01,1774.0083333333332,458.38633333333337,402.52708333333334,-4.8814166666666665,2630.0403333333334
2025-11-01,1779.6666666666667,458.38633333333337,402.52708333333334,-6.9694999999999965,2633.610583333333
2025-12-01,1787.1583333333335,458.38633333333337,402.52708333333334,-8.270500000000002,2639.80125
